timestamp,file_id,size_original,size_cipher,size_container,time_sign_ms,time_encrypt_ms,time_stego_ms,success_restore,signature_valid
2025-10-30T06:32:52.743704,2,19,106,120211,11.001348495483398,48.51055145263672,0.0,False,False
2025-10-30T06:37:32.501005,3,19,107,120236,8.000373840332031,41.00441932678223,0.0,False,False
2025-10-30T06:38:26.804982,4,19,106,120223,13.00668716430664,56.21647834777832,0.0,False,False
2025-10-30T06:38:39.925872,5,19,107,120213,0.0,43.00570487976074,0.0,False,False
2025-10-30T06:39:14.474801,6,19,105,120213,8.002519607543945,43.52974891662598,0.0,False,False
2025-10-30T06:40:46.178104,7,19,107,120220,8.002281188964844,44.01397705078125,0.0,False,False
2025-10-30T06:45:53.978297,9,19,105,120222,7.999897003173828,43.059349060058594,0.0,False,False
2025-10-30T06:47:39.146186,10,19,106,120225,7.998943328857422,40.00496864318848,0.0,False,False
2025-10-30T06:49:05.015984,12,5,91,120177,0.0,40.99917411804199,0.0,False,False
2025-10-30T06:50:10.950015,13,5,92,111308,0.0,43.999671936035156,0.0,False,False
2025-10-30T06:53:26.187951,14,5,91,111283,9.009838104248047,41.988372802734375,0.0,False,False
2025-10-30T06:54:53.783621,15,5,92,7287,0.0,40.00401496887207,0.0,False,False
2025-10-30T06:55:15.121918,16,5,92,7292,0.9989738464355469,39.009809494018555,0.0,False,False
2025-10-30T06:58:47.335923,17,5,94,35584,9.999275207519531,53.51424217224121,0.0,False,False
2025-10-30T07:06:03.695939,18,3,93,35890,0.0,41.22328758239746,0.0,False,False
2025-10-30T07:08:20.081330,20,3,92,35875,5.998849868774414,41.51558876037598,0.0,False,False
2025-10-30T07:08:57.027405,21,3,92,35875,12.999296188354492,56.519269943237305,0.0,False,False
2025-10-30T07:10:15.292906,22,92,180,36099,0.0,40.052175521850586,0.0,False,False
2025-10-30T07:15:58.369546,23,92,180,36089,9.005308151245117,39.50381278991699,0.0,False,False
2025-10-30T07:17:28.513442,24,92,182,36121,6.996870040893555,41.046857833862305,0.0,False,False
2025-10-30T07:18:01.487148,25,4,92,35881,0.0,42.55223274230957,0.0,False,False
2025-10-30T07:23:06.509785,26,4,94,35897,0.0,46.0054874420166,0.0,False,False
2025-10-30T07:23:37.340789,27,4,93,35944,1.001596450805664,39.006948471069336,0.0,False,False
2025-10-30T07:24:04.538833,28,141,230,20635,0.0,39.52455520629883,0.0,False,False
2025-10-30T07:27:46.773068,29,4,93,16938,9.000062942504883,43.50996017456055,0.0,False,False
2025-10-30T07:29:29.351421,30,4,92,16924,0.0,44.00515556335449,0.0,False,False
2025-10-30T07:33:37.773437,31,4,93,16184,1.0018348693847656,40.51661491394043,0.0,False,False
2025-10-30T07:35:38.046043,32,5,95,16191,7.012844085693359,40.50326347351074,247.71976470947266,False,False
2025-10-30T07:40:36.580753,33,5,94,114259,14.000177383422852,61.9966983795166,212.74423599243164,False,False
2025-10-30T07:40:59.763088,34,5,93,114260,6.923437118530273,41.45550727844238,151.75580978393555,False,False
2025-10-30T07:47:32.631263,35,208,296,9600,8.005857467651367,42.138099670410156,330.3649425506592,False,False
2025-10-30T07:52:13.714149,36,208,298,9603,1.0347366333007812,47.49345779418945,288.5565757751465,False,False
2025-10-30T07:56:09.212679,37,208,298,9606,7.999420166015625,41.0003662109375,285.53032875061035,False,False
2025-10-30T07:58:39.081922,38,208,296,2250,0.0,41.522979736328125,215.99864959716797,False,False
2025-10-30T08:01:26.535596,39,189,279,3755,1.0075569152832031,41.98861122131348,211.98391914367676,False,False
2025-10-30T08:20:26.585121,41,189,279,4412,6.998777389526367,39.99972343444824,257.5807571411133,False,False
2025-10-30T08:49:22.100533,43,189,277,4456,10.007381439208984,48.51126670837402,253.10540199279785,False,False
2025-10-30T08:51:31.812596,45,14,103,3979,0.0,48.009395599365234,271.43025398254395,False,False
2025-10-30T08:52:22.287172,47,14,102,2261,0.0,40.52090644836426,79.53119277954102,False,False
2025-10-30T09:06:22.772586,49,14,102,2266,0.9992122650146484,42.9987907409668,84.5191478729248,False,False
2025-10-30T09:18:06.776288,51,14,104,2283,7.009983062744141,42.456626892089844,67.54159927368164,False,False
2025-10-30T09:24:19.758814,53,14,103,1556,0.0,40.000200271606445,134.52696800231934,False,False
2025-10-30T09:24:49.229186,55,14,103,18559,0.0,44.000864028930664,184.617280960083,False,False
2025-10-30T09:29:23.557313,57,14,103,18553,0.0,39.99638557434082,192.03519821166992,False,False
2025-10-30T09:31:21.519129,59,14,104,18564,7.999,40.52400588989258,184.0975284576416,False,False
2025-12-07T19:39:02.958455,61,28201,28291,203299,20.253,42.81306266784668,507.0028305053711,False,False
2025-12-07T19:41:37.444287,63,28201,28290,203414,0.0,65.56987762451172,555.2592277526855,False,False
